Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound
Developed regions,196,Cyprus,2011,Male,70.72,-,-
Developed regions,196,Cyprus,2011,Both sexes,67.78,-,-
Developed regions,196,Cyprus,2012,Female,66.59,-,-
Developed regions,196,Cyprus,2012,Male,71.5,-,-
Developed regions,196,Cyprus,2012,Both sexes,68.92,-,-
Developed regions,196,Cyprus,2013,Female,67.75,-,-
Developed regions,196,Cyprus,2013,Male,72.27,-,-
Developed regions,196,Cyprus,2013,Both sexes,69.89,-,-
Developed regions,196,Cyprus,2014,Female,68.06,-,-
Developed regions,196,Cyprus,2014,Male,71.1,-,-
Developed regions,196,Cyprus,2014,Both sexes,69.5,-,-
Developed regions,196,Cyprus,2015,Female,67.41,-,-
Developed regions,196,Cyprus,2015,Male,70.86,-,-
Developed regions,196,Cyprus,2015,Both sexes,69.05,-,-
Developed regions,203,Czech Republic,2008,Female,80.05,-,-
Developed regions,203,Czech Republic,2008,Male,92.7,-,-
Developed regions,203,Czech Republic,2008,Both sexes,86.14,-,-
Developed regions,203,Czech Republic,2007,Female,79.63,-,-
Developed regions,203,Czech Republic,2007,Male,92.44,-,-
Developed regions,203,Czech Republic,2007,Both sexes,85.78,-,-
Developed regions,203,Czech Republic,2009,Female,81.71,-,-
Developed regions,203,Czech Republic,2009,Male,93.19,-,-
Developed regions,203,Czech Republic,2009,Both sexes,87.25,-,-
Developed regions,203,Czech Republic,2010,Female,82.58,-,-
Developed regions,203,Czech Republic,2010,Male,93.79,-,-
Developed regions,203,Czech Republic,2010,Both sexes,87.99,-,-
Developed regions,203,Czech Republic,2006,Female,79.26,-,-
Developed regions,203,Czech Republic,2006,Male,92.24,-,-
Developed regions,203,Czech Republic,2006,Both sexes,85.48,-,-
Developed regions,203,Czech Republic,2011,Female,83.23,-,-
Developed regions,203,Czech Republic,2011,Male,93.94,-,-
Developed regions,203,Czech Republic,2011,Both sexes,88.4,-,-
Developed regions,203,Czech Republic,2012,Female,83.67,-,-
Developed regions,203,Czech Republic,2012,Male,93.71,-,-
Developed regions,203,Czech Republic,2012,Both sexes,88.53,-,-
Developed regions,203,Czech Republic,2013,Female,84.73,-,-
Developed regions,203,Czech Republic,2013,Male,93.89,-,-
Developed regions,203,Czech Republic,2013,Both sexes,89.16,-,-
Developed regions,203,Czech Republic,2014,Female,85.25,-,-
Developed regions,203,Czech Republic,2014,Male,94.31,-,-
Developed regions,203,Czech Republic,2014,Both sexes,89.63,-,-
Developed regions,203,Czech Republic,2015,Female,85.58,-,-
Developed regions,203,Czech Republic,2015,Male,94.24,-,-
Developed regions,203,Czech Republic,2015,Both sexes,89.77,-,-
Developed regions,208,Denmark,2003,Female,83.83,-,-
Developed regions,208,Denmark,2003,Male,84.52,-,-
Developed regions,208,Denmark,2003,Both sexes,84.26,-,-
Developed regions,208,Denmark,2008,Female,78.1,-,-
Developed regions,208,Denmark,2008,Male,79.47,-,-
Developed regions,208,Denmark,2008,Both sexes,78.79,-,-
Developed regions,208,Denmark,2007,Female,75.43,-,-
Developed regions,208,Denmark,2007,Male,77.09,-,-
Developed regions,208,Denmark,2007,Both sexes,76.28,-,-
Developed regions,208,Denmark,2009,Female,73.49,-,-
Developed regions,208,Denmark,2009,Male,80.8,-,-
Developed regions,208,Denmark,2009,Both sexes,74.98,-,-
Developed regions,208,Denmark,2010,Female,73.43,-,-
Developed regions,208,Denmark,2010,Male,76.44,-,-
Developed regions,208,Denmark,2010,Both sexes,74.94,-,-
Developed regions,208,Denmark,2004,Female,82.63,-,-
Developed regions,208,Denmark,2004,Male,81.95,-,-
Developed regions,208,Denmark,2004,Both sexes,82.28,-,-
Developed regions,208,Denmark,1995,Female,55.7,-,-
Developed regions,208,Denmark,1995,Male,64.33,-,-
Developed regions,208,Denmark,1995,Both sexes,60.04,-,-
Developed regions,208,Denmark,2011,Female,74.81,-,-
Developed regions,208,Denmark,2011,Male,76.14,-,-
Developed regions,208,Denmark,2011,Both sexes,75.48,-,-
Developed regions,208,Denmark,2012,Female,75.54,-,-
Developed regions,208,Denmark,2012,Male,76.47,-,-
Developed regions,208,Denmark,2012,Both sexes,76,-,-
Developed regions,208,Denmark,2013,Female,76.5,-,-
Developed regions,208,Denmark,2013,Male,69.52,-,-
Developed regions,208,Denmark,2013,Both sexes,76.55,-,-
Developed regions,208,Denmark,2014,Female,76.34,-,-
Developed regions,208,Denmark,2014,Male,77.34,-,-
Developed regions,208,Denmark,2014,Both sexes,76.83,-,-
Developed regions,208,Denmark,2015,Female,77.81,-,-
Developed regions,208,Denmark,2015,Male,77.69,-,-
Developed regions,208,Denmark,2015,Both sexes,77.75,-,-
Developed regions,233,Estonia,2008,Female,86.29,-,-
Developed regions,233,Estonia,2008,Male,84.17,-,-
Developed regions,233,Estonia,2008,Both sexes,85.32,-,-
Developed regions,233,Estonia,2000,Female,72.05,-,-
Developed regions,233,Estonia,2000,Male,70.69,-,-
Developed regions,233,Estonia,2000,Both sexes,71.46,-,-
Developed regions,233,Estonia,2007,Female,86.22,-,-
Developed regions,233,Estonia,2007,Male,85.07,-,-
Developed regions,233,Estonia,2007,Both sexes,85.7,-,-
Developed regions,233,Estonia,2009,Female,87.19,-,-
Developed regions,233,Estonia,2009,Male,83.91,-,-
Developed regions,233,Estonia,2009,Both sexes,85.68,-,-
Developed regions,233,Estonia,2010,Female,88.43,-,-
Developed regions,233,Estonia,2010,Male,84.14,-,-
Developed regions,233,Estonia,2010,Both sexes,86.46,-,-
Developed regions,233,Estonia,2011,Female,88.51,-,-
Developed regions,233,Estonia,2011,Male,84.25,-,-
Developed regions,233,Estonia,2011,Both sexes,86.55,-,-
Developed regions,233,Estonia,2012,Female,88.89,-,-
Developed regions,233,Estonia,2012,Male,85.34,-,-
Developed regions,233,Estonia,2012,Both sexes,87.25,-,-
Developed regions,233,Estonia,2013,Female,90.5,-,-
Developed regions,233,Estonia,2013,Male,86.07,-,-
Developed regions,233,Estonia,2013,Both sexes,88.41,-,-
Developed regions,233,Estonia,2014,Female,91.89,-,-
Developed regions,233,Estonia,2014,Male,87.22,-,-
Developed regions,233,Estonia,2014,Both sexes,89.68,-,-
Developed regions,233,Estonia,2015,Female,91.48,-,-
Developed regions,233,Estonia,2015,Male,87.71,-,-
Developed regions,233,Estonia,2015,Both sexes,89.69,-,-
Developed regions,246,Finland,2003,Female,63.71,-,-
Developed regions,246,Finland,2003,Male,65.14,-,-
Developed regions,246,Finland,2003,Both sexes,64.4,-,-
Developed regions,246,Finland,2008,Female,68.76,-,-
Developed regions,246,Finland,2008,Male,68.81,-,-
Developed regions,246,Finland,2008,Both sexes,68.79,-,-
Developed regions,246,Finland,2005,Female,65.75,-,-
Developed regions,246,Finland,2005,Male,66.68,-,-
Developed regions,246,Finland,2005,Both sexes,66.2,-,-
Developed regions,246,Finland,2007,Female,67.79,-,-
Developed regions,246,Finland,2007,Male,68.16,-,-
Developed regions,246,Finland,2007,Both sexes,67.97,-,-
Developed regions,246,Finland,2009,Female,69.7,-,-
Developed regions,246,Finland,2009,Male,69.56,-,-
Developed regions,246,Finland,2009,Both sexes,69.63,-,-
Developed regions,246,Finland,2010,Female,70.61,-,-
Developed regions,246,Finland,2010,Male,70.27,-,-
Developed regions,246,Finland,2010,Both sexes,70.45,-,-
Developed regions,246,Finland,2006,Female,66.82,-,-
Developed regions,246,Finland,2006,Male,67.46,-,-
Developed regions,246,Finland,2006,Both sexes,67.13,-,-
Developed regions,246,Finland,2011,Female,71.47,-,-
Developed regions,246,Finland,2011,Male,70.91,-,-
Developed regions,246,Finland,2011,Both sexes,71.2,-,-
Developed regions,246,Finland,2012,Female,72.34,-,-
Developed regions,246,Finland,2012,Male,71.54,-,-
Developed regions,246,Finland,2012,Both sexes,71.95,-,-
Developed regions,246,Finland,2013,Female,73.27,-,-
Developed regions,246,Finland,2013,Male,72.33,-,-
Developed regions,246,Finland,2013,Both sexes,72.81,-,-
Developed regions,246,Finland,2014,Female,74.11,-,-
Developed regions,246,Finland,2014,Male,72.99,-,-
Developed regions,246,Finland,2014,Both sexes,73.57,-,-
Developed regions,250,France,2008,Female,57.16,-,-
Developed regions,250,France,2008,Male,63.91,-,-
Developed regions,250,France,2008,Both sexes,60.35,-,-
Developed regions,250,France,2005,Female,52.87,-,-
Developed regions,250,France,2005,Male,60.71,-,-
Developed regions,250,France,2005,Both sexes,56.59,-,-
Developed regions,250,France,2007,Female,56.01,-,-
Developed regions,250,France,2007,Male,63.18,-,-
Developed regions,250,France,2007,Both sexes,59.42,-,-
Developed regions,250,France,2009,Female,58.23,-,-
Developed regions,250,France,2009,Male,64.62,-,-
Developed regions,250,France,2009,Both sexes,61.26,-,-
Developed regions,250,France,2010,Female,58.65,-,-
Developed regions,250,France,2010,Male,65.52,-,-
Developed regions,250,France,2010,Both sexes,61.9,-,-
Developed regions,250,France,2004,Female,51.99,-,-
Developed regions,250,France,2004,Male,59.8,-,-
Developed regions,250,France,2004,Both sexes,55.7,-,-
Developed regions,250,France,2011,Female,59.7,-,-
Developed regions,250,France,2011,Male,66.18,-,-
Developed regions,250,France,2011,Both sexes,62.77,-,-
Developed regions,250,France,2012,Female,60.88,-,-
Developed regions,250,France,2012,Male,66.94,-,-
Developed regions,250,France,2012,Both sexes,63.75,-,-
Developed regions,250,France,2013,Female,63.38,-,-
Developed regions,250,France,2013,Male,69.62,-,-
Developed regions,250,France,2013,Both sexes,66.34,-,-
Developed regions,250,France,2014,Female,65.42,-,-
Developed regions,250,France,2014,Male,71.98,-,-
Developed regions,250,France,2014,Both sexes,68.53,-,-
Developed regions,250,France,2015,Female,66.73,-,-
Developed regions,250,France,2015,Male,72.44,-,-
Developed regions,250,France,2015,Both sexes,69.44,-,-
Developed regions,276,Germany,2008,Female,73.67,-,-
Developed regions,276,Germany,2008,Male,87.11,-,-
Developed regions,276,Germany,2008,Both sexes,80.16,-,-
Developed regions,276,Germany,2005,Female,70.55,-,-
Developed regions,276,Germany,2005,Male,85.26,-,-
Developed regions,276,Germany,2005,Both sexes,77.62,-,-
Developed regions,276,Germany,2007,Female,72.42,-,-
Developed regions,276,Germany,2007,Male,86.29,-,-
Developed regions,276,Germany,2007,Both sexes,79.11,-,-
Developed regions,276,Germany,2009,Female,74.38,-,-
Developed regions,276,Germany,2009,Male,87.26,-,-
Developed regions,276,Germany,2009,Both sexes,80.62,-,-
Developed regions,276,Germany,2010,Female,75.17,-,-
Developed regions,276,Germany,2010,Male,87.47,-,-
Developed regions,276,Germany,2010,Both sexes,81.13,-,-
Developed regions,276,Germany,2004,Female,71.26,-,-
Developed regions,276,Germany,2004,Male,86.18,-,-
Developed regions,276,Germany,2004,Both sexes,78.48,-,-
Developed regions,276,Germany,2006,Female,70.93,-,-
Developed regions,276,Germany,2006,Male,85.26,-,-
Developed regions,276,Germany,2006,Both sexes,77.85,-,-
Developed regions,276,Germany,2011,Female,75.96,-,-
Developed regions,276,Germany,2011,Male,87.84,-,-
Developed regions,276,Germany,2011,Both sexes,81.72,-,-
Developed regions,276,Germany,2012,Female,76.48,-,-
Developed regions,276,Germany,2012,Male,87.95,-,-
Developed regions,276,Germany,2012,Both sexes,82.05,-,-
Developed regions,276,Germany,2013,Female,77.07,-,-
Developed regions,276,Germany,2013,Male,87.84,-,-
Developed regions,276,Germany,2013,Both sexes,82.31,-,-
Developed regions,276,Germany,2014,Female,77.93,-,-
Developed regions,276,Germany,2014,Male,88.39,-,-
Developed regions,276,Germany,2014,Both sexes,83,-,-
Developed regions,276,Germany,2015,Female,78.3,-,-
Developed regions,276,Germany,2015,Male,88.15,-,-
Developed regions,276,Germany,2015,Both sexes,83.08,-,-
Developed regions,300,Greece,2008,Female,49.82,-,-
Developed regions,300,Greece,2008,Male,55.68,-,-
Developed regions,300,Greece,2008,Both sexes,52.67,-,-
Developed regions,300,Greece,2005,Female,46.1,-,-
Developed regions,300,Greece,2005,Male,52.05,-,-
Developed regions,300,Greece,2005,Both sexes,48.98,-,-
Developed regions,300,Greece,2007,Female,49.35,-,-
Developed regions,300,Greece,2007,Male,55.16,-,-
Developed regions,300,Greece,2007,Both sexes,52.17,-,-
Developed regions,300,Greece,2010,Female,51.42,-,-
Developed regions,300,Greece,2010,Male,56.03,-,-
Developed regions,300,Greece,2010,Both sexes,53.66,-,-
